,dataset_name,model_type,seed,performance,performance_type,n_labels,f1_upper,f1_lower,n_epoch,precision,recall,weighted_f1,accuracy,footnote,name,source,task
319,sustainable_signals_review,Llama-8B,42,0.6352040816326531,f1_score,,0.7386877828054299,0.5253519517677351,,0.6594202898550725,0.6363636363636364,0.6494169096209912,0.6623376623376623,,sustainable_signals_review,\citet{linSUSTAINABLESIGNALSijcai2023},Climate Topic Classification
320,lobbymap_query,Llama-8B,42,0.324172050024617,f1_score,,0.3644658360359628,0.2777058630851926,,0.3435289875295902,0.3946276788869904,0.3636970956951573,0.395357004590454,,lobbymap_query,\citet{morio2023an},Stance classification
321,logicClimate,Llama-8B,42,0.1030615723119784,f1_score,,0.1401364327425379,0.0540166673195059,,0.1803714066871961,0.1305966469428008,0.1106806204848468,0.1769087523277467,,logicClimate,\citet{jin-etal-2022-logical},Deceptive technics
322,lobbymap_stance,Llama-8B,42,0.2636283722424801,f1_score,,0.3096555773357191,0.2165191947943411,,0.2531860952659548,0.290656071753353,0.3071401848497284,0.3516483516483517,,lobbymap_stance,\citet{morio2023an},Stance classification
323,climateStance,Llama-70B,42,0.5797654676857666,f1_score,,0.6377462261206639,0.5119188982118469,,0.5763726517214889,0.6920187793427229,0.7300256867662993,0.6807909604519774,,climateStance,\citet{vaid-etal-2022-towards},Stance classification
324,environmental_claims,Llama-70B,42,0.7656286365963785,f1_score,,0.8186931548052904,0.7105383969985277,,0.7669952997821851,0.8511231720186944,0.7988561381135939,0.7849056603773585,,environmental_claims,\citet{stammbach_environmental_2023},Claim detection
325,esgbert_action500,Llama-70B,42,0.6302600472813239,f1_score,,0.761033223573117,0.4772727272727273,,0.6371428571428572,0.6384615384615384,0.6313084592455546,0.6304347826086957,,esgbert_action500,\citet{schimanski_bridging_2023},Claim characteristics
326,ClimaINS_ours,Llama-70B,42,0.4885198109110277,f1_score,,0.5311508758776078,0.4378223408981875,,0.5595863219273213,0.5063860107586038,0.5182493641616764,0.558974358974359,,ClimaINS_ours,\citet{spokoyny2023answering},Question answering
327,climateFEVER_evidence,Llama-70B,42,0.6374582383932778,f1_score,,0.6738384165909361,0.5969356271765675,,0.6131928821760196,0.7055773003105754,0.6838053301685192,0.674025974025974,,climateFEVER_evidence,\citet{diggelmann_climate-fever_2020},Stance classification
328,climate_detection,Llama-70B,42,0.9336760072956392,f1_score,,0.9641622418115549,0.9009754187338792,,0.9642097802976612,0.909375,0.9587464765378876,0.96,,climate_detection,\citet{bingler2023cheaptalkspecificitysentiment},Climate Topic Classification
329,climateEng,Llama-70B,42,0.6111287432055161,f1_score,,0.6887111103115258,0.5185446218454414,,0.5863564918855918,0.6430415695415694,0.7238639285939406,0.7203389830508474,,climateEng,\citet{vaid-etal-2022-towards},Climate Sub-thematic topic classification
330,climatext,Llama-70B,42,0.898999898999899,f1_score,,0.9168992315094332,0.8779685524822161,,0.899001596006384,0.899,0.898999898999899,0.899,,climatext,\citet{varini_climatext_2020},Climate Topic Classification
331,esgbert_s,Llama-70B,42,0.7357507660878447,f1_score,,0.7975255251768864,0.6733635335957291,,0.7372701555869873,0.7466911764705882,0.7412157826928308,0.7386934673366834,,esgbert_s,\citet{schimanski_bridging_2023},ESG topic classification
332,climate_specificity,Llama-70B,42,0.6804511278195489,f1_score,,0.7315435418288869,0.6281206419834429,,0.7466105041463735,0.7319549337625355,0.6767563439849624,0.68125,,climate_specificity,\citet{bingler2023cheaptalkspecificitysentiment},Claim characteristics
333,climateFEVER_claim,Llama-70B,42,0.2625665970175484,f1_score,,0.3278773265034477,0.1979229948860278,,0.3366898148148148,0.2996941489361702,0.3087295444334308,0.3026315789473684,,climateFEVER_claim,\citet{diggelmann_climate-fever_2020},Stance classification
334,contrarian_claims,Llama-70B,42,0.5626197547803756,f1_score,,0.5921830887113233,0.5273578506639849,,0.7143440987473685,0.535924734890071,0.5278915547371315,0.527,,contrarian_claims,\citet{coanComputerassistedClassificationContrarian2021},Deceptive technics
335,esgbert_category_nature,Llama-70B,42,0.8804424197094354,f1_score,,0.9237878491434116,0.8331638715295564,,0.8902900960827791,0.8797644732110752,0.8807109617015078,0.8815165876777251,,esgbert_category_nature,\citet{Schimanski2024nature},Climate Sub-thematic topic classification
336,green_claims_3,Llama-70B,42,0.7567916446634982,f1_score,,0.8598986504661235,0.6336958611874625,,0.7820797089089773,0.8169934640522875,0.8136568588953733,0.7948717948717948,,green_claims_3,\citet{vinicius_woloszyn_towards_2021},Claim characteristics
337,climate_tcfd_recommendations,Llama-70B,42,0.5015044160422097,f1_score,,0.5522527383452216,0.4436259910239243,,0.4912596987717966,0.58700905391442,0.4808406024158004,0.4825,,climate_tcfd_recommendations,\citet{bingler2023cheaptalkspecificitysentiment},Disclosure (TCFD) classification
338,netzero_reduction,Llama-70B,42,0.9561421152979904,f1_score,,0.9775721941122708,0.9329975698182416,,0.9555555555555556,0.9587627884300416,0.9598617634271508,0.9593023255813954,,netzero_reduction,\citet{tobias_schimanski_climatebert-netzero_2023},Claim characteristics
339,esgbert_category_forest,Llama-70B,42,0.8624463887459255,f1_score,,0.9179079688937636,0.8030259134073716,,0.8434094447327452,0.8869883040935672,0.9126344092578454,0.909952606635071,,esgbert_category_forest,\citet{Schimanski2024nature},Climate Sub-thematic topic classification
340,esgbert_category_biodiversity,Llama-70B,42,0.8226029289859077,f1_score,,0.8773398866069047,0.7586435089908979,,0.7857142857142857,0.9241573033707864,0.8858594179731584,0.8738317757009346,,esgbert_category_biodiversity,\citet{Schimanski2024nature},Climate Sub-thematic topic classification
341,climate_sentiment,Llama-70B,42,0.7045833333333333,f1_score,,0.754572288815566,0.6472596295430313,,0.7028543595122075,0.7169016929610136,0.73812890625,0.73125,,climate_sentiment,\citet{bingler2023cheaptalkspecificitysentiment},Sentiment Analysis
342,climaQA,Llama-70B,42,0.7717092192455298,f1_score,,0.7980215135939135,0.7437471672608439,,0.8124381866896837,0.778,0.7717092192455298,0.778,,climaQA,\citet{spokoyny2023answering},Question answering
343,climate_commitments_actions,Llama-70B,42,0.5072529153875578,f1_score,,0.5620279837335933,0.4507457654779084,,0.6503393725615948,0.6292976650119507,0.4947225110093273,0.509375,,climate_commitments_actions,\citet{bingler2023cheaptalkspecificitysentiment},Claim characteristics
344,esgbert_category_water,Llama-70B,42,0.9348484848484848,f1_score,,0.9689053293968842,0.89072532445399,,0.9289813486370158,0.9411113843127612,0.9538125440451022,0.9534883720930232,,esgbert_category_water,\citet{Schimanski2024nature},Climate Sub-thematic topic classification
345,green_claims,Llama-70B,42,0.8675271739130435,f1_score,,0.9345966795237296,0.7893789378937894,,0.8648648648648649,0.9019607843137256,0.8748432274247492,0.8717948717948718,,green_claims,\citet{vinicius_woloszyn_towards_2021},Claim detection
346,gw_stance_detection,Llama-70B,42,0.7251289989680082,f1_score,,0.787665319476137,0.6581104483445972,,0.7197396500213401,0.7344926227040048,0.7166101404857103,0.7185929648241206,,gw_stance_detection,\citet{luo_detecting_2020},Stance classification
347,esgbert_g,Llama-70B,42,0.6256556597363772,f1_score,,0.6902288807244477,0.5532012897282359,,0.6811403508771929,0.726518579459756,0.6521927704767148,0.634020618556701,,esgbert_g,\citet{schimanski_bridging_2023},ESG topic classification
348,sciDCC,Llama-70B,42,0.2999631362261916,f1_score,,0.3232145921583078,0.2740669250025654,,0.4129931964768233,0.3307542802050978,0.3457462009594986,0.33,,sciDCC,\citet{mishra2021neuralnere},Climate Sub-thematic topic classification
349,climateBUG_data,Llama-70B,42,0.8716529495756525,f1_score,,0.8936170212765957,0.8498078149879037,,0.876067546583851,0.872,0.8716529495756525,0.872,,climateBUG_data,\citet{yu_climatebug_2024},Climate Topic Classification
350,esgbert_e,Llama-70B,42,0.9455685380450272,f1_score,,0.9757051081505154,0.907590508862207,,0.9436317780580076,0.9475826972010178,0.9529840246247868,0.9528795811518324,,esgbert_e,\citet{schimanski_bridging_2023},ESG topic classification
351,ClimaTOPIC,Llama-70B,42,0.5096207827429988,f1_score,,0.5349854177202968,0.4821393283691444,,0.532822253385918,0.5395152036718301,0.5092483465094622,0.539,,ClimaTOPIC,\citet{spokoyny2023answering},Climate Sub-thematic topic classification
352,lobbymap_pages,Llama-70B,42,0.6125173785751821,f1_score,,0.6410670669795762,0.587048370540933,,0.7152552745075184,0.6937291825119988,0.6052384441687447,0.6140757927300851,,lobbymap_pages,\citet{morio2023an},Stance classification
353,sustainable_signals_review,Llama-70B,42,0.7326388888888888,f1_score,,0.8235963167216472,0.6258036475577752,,0.735273492286115,0.731060606060606,0.7390873015873016,0.7402597402597403,,sustainable_signals_review,\citet{linSUSTAINABLESIGNALSijcai2023},Climate Topic Classification
354,lobbymap_query,Llama-70B,42,0.3822943238917071,f1_score,,0.4200756851038242,0.3405182852057117,,0.3489180130757725,0.4952769274084382,0.4321907710721315,0.4291300259941374,,lobbymap_query,\citet{morio2023an},Stance classification
355,logicClimate,Llama-70B,42,0.2211681663925987,f1_score,,0.28126953305147,0.153401662440124,,0.3478870029982556,0.2179900227977151,0.2284684955647258,0.2597765363128491,,logicClimate,\citet{jin-etal-2022-logical},Deceptive technics
356,lobbymap_stance,Llama-70B,42,0.1961492976787689,f1_score,,0.2348299474703063,0.1589131140685688,,0.221684295631664,0.2603206587086924,0.2114283004971404,0.2769230769230769,,lobbymap_stance,\citet{morio2023an},Stance classification
357,climatext_10k,Llama-8B,42,0.909455690508322,f1_score,,0.9483816866592863,0.8632355680562271,,0.9575430172068828,0.8766139657444005,0.9397928292665136,0.9425675675675677,,climatext_10k,\citet{varini_climatext_2020},Climate Topic Classification
358,climatext_wiki,Llama-8B,42,0.8282224201552361,f1_score,,0.898650114407085,0.7477373780293489,,0.8763636363636365,0.7936670071501533,0.9363048733935616,0.94,,climatext_wiki,\citet{varini_climatext_2020},Climate Topic Classification
359,climatext_claim,Llama-8B,42,0.8362706456071562,f1_score,,0.8581799471305662,0.8137074212743518,,0.8697583044558788,0.8393935742971887,0.8363179888447989,0.8396793587174348,,climatext_claim,\citet{varini_climatext_2020},Climate Topic Classification
360,climatext_10k,Llama-70B,42,0.9596702772668436,f1_score,,0.98496316992634,0.9299978697123916,,0.9768361581920904,0.9447957839262188,0.9725034660656978,0.972972972972973,,climatext_10k,\citet{varini_climatext_2020},Climate Topic Classification
361,climatext_wiki,Llama-70B,42,0.8740856217771915,f1_score,,0.935309973045822,0.804129586137146,,0.8971879373966154,0.8542730677562138,0.9520014390214654,0.9533333333333334,,climatext_wiki,\citet{varini_climatext_2020},Climate Topic Classification
362,climatext_claim,Llama-70B,42,0.8571360404638069,f1_score,,0.8782707035648932,0.8367749300196962,,0.8747885047337154,0.8585100401606425,0.8571661622620151,0.8587174348697395,,climatext_claim,\citet{varini_climatext_2020},Climate Topic Classification
